id,plugin,name,description,tactic,technique_id,technique_name
0df4d46e-e202-4b29-9a19-c2540982002d,gameboard,GameBoard Plugin Manual Detection - GUID,GameBoard plugin guid detection placeholder ability,verification,x,x
4a9b51ba-1a0d-4128-a040-5535fd147dc3,gameboard,GameBoard Plugin Manual Detection - PID,GameBoard plugin pid detection placeholder ability,verification,x,x
2f34977d-9558-4c12-abad-349716777c6b,sandcat,Sandcat,"Caldera's default agent, written in GoLang. Communicates through the HTTP(S) contact by default.",command-and-control,T1105,Ingress Tool Transfer
e846973a-767b-4f9c-8b9e-5249cfcd7b97,response,Restore File Backup,Restore backups of files if file has been modified,response,x,x
5ec7ae3b-c909-41bb-9b6b-dadec409cd40,response,Delete known suspicious files,"Use hash of known suspicious file to find instances of said file, and delete instances",response,x,x
bf01fdc9-d801-4461-81df-e511efb3c1fc,response,Restore Modified Sensitive Directory,Restore sensitive directories with their backups if they have been modified,response,x,x
13d0d9cf-e31a-47b6-9217-f38e3f7c25ef,response,System Information from GUID,Collect system information from Sysmon event log given ProcessGUID. Ability timeout may need to be increased depending on Sysmon log size.,response,x,Query Event Logs
0fccf23f-6b1a-4ef3-8c89-e8bf27a1858f,response,Collect Grandchild Processes,Collect grandchild processes from Sysmon logs,response,x,Query Event Logs
2ca64acd-dc12-4cc8-b78a-6a182508a50b,response,Inoculate C2,Reroute suspicious IP addresses to localhost by editing hosts file,response,x,x
f5fb8bce-4a79-466a-8187-ed0cd8e8dbe1,response,Collect Child Processes,Collect child processes from Sysmon logs,response,x,Query Event Logs
02fb7fa9-8886-4330-9e65-fa7bb1bc5271,response,Kill rogue process,Force kill any unauthorized processes,response,x,x
cb85039a-6196-4262-883b-0beeb804b83d,response,Enable Outbound TCP/UDP firewall rule,Blocks outbound TCP and UDP traffic on a specific port,response,T1065,Uncommonly Used Port
debd322d-2100-45f7-8832-29ef7c56786d,response,Enable Inbound TCP/UDP firewall rule,Blocks inbound TCP and UDP traffic on a specific port,response,T1065,Uncommonly Used Port
32e563bb-ba06-4bcc-b817-fc2c434c0b66,response,Remove Unauthorized Cron Job,Removes newly added cron jobs,response,x,x
4744d99f-5fea-42a8-8ec4-c228db57caea,response,Remove Unauthorized Scheduled Task,Removes newly added scheduled tasks,response,x,x
2331077e-7be9-4e89-b2bb-32e8d7f6a708,response,Collect Parent's Child Proccesses,Collect all process creation events with the given parent process GUID,response,x,Query Event Logs
90418255-b202-4fc3-b0ea-b105bff39ca5,response,Collect GUID from PID,Collect process GUIDs by querying Sysmon for all events associated with the given PID,response,x,Query Event Logs
2ed3c315-2022-499e-a844-1bbd119d0abe,response,Hash Sensitive Directories,Acquire hashes of compressed sensitive directories as a baseline to check if they are changed in the future,setup,x,x
622e4bda-e5a8-42bb-93d9-a7b1eebc7e41,response,Backup Bash Profiles,"If bash profile doesn't exist, create it, and then backup each profile.",setup,x,x
243053d2-13c1-47f0-832d-6ef02ba95e1a,response,Backup Sensitive Directories,Create compressed backups of sensitive directories,setup,x,x
df9d2b83-b40f-4167-af75-31ddde59af7e,response,Hash Bash Profiles,"If bash profile doesn't exist, create it, and then hash each profile.",setup,x,x
a65a62e1-b8c0-4f88-b564-166e7499d560,response,Scheduled Tasks Baseline,Capture the scheduled tasks that exist at the start of the operation,setup,x,x
ba907d7a-b334-47e7-b652-4e481b5aa534,response,User Cron Jobs Baseline,Capture the cron jobs that exist at the start of the operation,setup,x,x
83d7cf63-e10a-4615-a92e-dce257bf3b9d,response,Backup Powershell Profiles,"This ability creates backups of Powershell profiles, creating the profiles themselves if they do not exist.",setup,x,x
f313a0d7-2327-4f69-8da4-a6efd6135121,response,Hash Sensitive Files,Acquire hashes of sensitive files as a baseline to check if they are changed in the future,setup,x,x
90a67a85-e81c-4525-8bae-12a2c5787d9a,response,Hash Powershell Profiles,"This ability creates file hashes of Powershell profiles, creating the profiles themselves if they do not exist.",setup,x,x
34bc0116-13b6-4dd5-b681-9554c2a1fa95,response,Backup Sensitive Files,Backup sensitive files to temp directory in case these files are maliciously modified,setup,x,x
bf565e6a-0037-4aa4-852f-1afa222c76db,response,Search for Child Processes (elastic),Search for Sysmon Event 1 records to discover children of known processes.,hunt,x,x
b419604e-6f82-40a4-b215-12f8c8156c2f,response,Search for Parent Processes (elastic),Search for Sysmon Event 1 records to discover parents of known processes.,hunt,x,x
4b283acc-45c0-4de8-b0ac-ac0699e5ab95,response,Search for PowerShell ExecutionPolicy Bypass (elastic),"Search for Sysmon Event 1 powershell records with ""ExecutionPolicy"" and ""Bypass""",hunt,x,x
1837b43e-4fff-46b2-a604-a602f7540469,response,Elasticat,A Blue Python agent that executes elasticsearch queries.,command-and-control,T1071,Standard Application Layer Protocol
f9b3eff0-e11c-48de-9338-1578b351b14b,response,Hunt for known suspicious files,Use hash of known suspicious file to find instances of said file on hosts,hunt,x,x
ee54384f-cfbc-4228-9dc1-cc5632307afb,response,New Cron Jobs,Checks to see if a new (unauthorized) cron job has been added,detection,x,x
1226f8ec-e2e5-4311-88e7-378c0e5cc7ce,response,Suspicious URLs in mail,Finds suspicious URLs in received mail,detection,x,x
930236c2-5397-4868-8c7b-72e294a5a376,response,Modified Sensitive Files,Checks sensitive file hashes against previously stored hashes to determine if the file has been modified,detection,x,x
3b4640bc-eacb-407a-a997-105e39788781,response,Find unauthorized processes,Search for processes which should not be on the host,detection,x,x
8bc73098-54d1-4f69-abd5-271e3e2da5df,response,New Scheduled Tasks,Checks to see if a new (unauthorized) scheduled task has been added,detection,x,x
77272c88-ccf5-4225-a3d9-f9e171d1ca5b,response,Acquire suspicious files,Get information from AV about suspicious files,detection,x,x
1b4aa8d5-ba97-4b9b-92a3-eaaaffbfdf0a,response,Find atypical open ports,Compare open ports against a known baseline,detection,T1065,Uncommonly Used Port
9bc10f37-0853-4d73-b547-019c11eda22f,response,Modified Sensitive Directory,Checks sensitive directory hashes against previously stored hashes to determine if the directory has been modified,detection,x,x
6d53c4a8-ecd3-4131-a7a2-704a5b43dd83,training,Create Process on Unauthorized Port,Certification ability to create a listening process on an unauthorized port,training,x,x
586140a1-9755-4996-883d-82a17c7737b2,training,Pretend Malicious File,Create a pretend malicious file to be acted on,training,x,x
fc4715ac-758e-4ba9-9e52-d07ff3d22a74,training,Add New Cronjob/Scheduled Task,Certification ability to create a new cronjob or scheduled task,training,x,x
18702cd3-8e98-4eb7-99d4-0d2816926af1,training,Modify Bash/Powershell Profile,Add a line to the Bash or Powershell profile,training,x,x
f0d77555-fa79-4884-8afd-73d39f887879,training,Pretend Malicious Mail,Send an email with a pretend evil domain to be acted on,training,x,x
e13c4e45-d19f-440e-8a72-fad728a1789c,training,Delete Pretend Malicious Mail,Delete previously stored pretend malicious mail,training,x,x
356d1722-7784-40c4-822b-0cf864b0b36d,manx,Manx,A reverse-shell agent which communicates via the TCP contact,command-and-control,T1105,Ingress Tool Transfer
567eaaba-94cc-4a27-83f8-768e5638f4e1,access,NMAP scan,Scan an external host for open ports and services,technical-information-gathering,T1254,Conduct active scanning
bed8f28e-c0ed-463e-9e31-d5607e5473df,access,Load Metasploit Abilities,Load Metasploit Abilities,build-capabilities,T1349,Build or acquire exploits
6469befa-748a-4b9c-a96d-f191fde47d89,stockpile,Create staging directory,create a directory for exfil staging,collection,T1074.001,Data Staged: Local Data Staging
b007fe0c-c6b0-4fda-915c-255bbc070de2,stockpile,Copy Clipboard,copy the contents for the clipboard and print them,collection,T1115,Clipboard Data
89955f55-529d-4d58-bed4-fed9e42515ec,stockpile,cURL socket address,See the raw content of a socket,collection,T1005,Data from Local System
720a3356-eee1-4015-9135-0fc08f7eb2d5,stockpile,Find Git Repositories,This ability will locate directories that are cloned Git repositories.,collection,T1005,Data from Local System
94f21386-9547-43c4-99df-938ab05d45ce,stockpile,WMIC Process Enumeration,"Capture process id, executable path, pid and parent pid before writing to disk",collection,T1047,WMIC
d69e8660-62c9-431e-87eb-8cf6bd4e35cf,stockpile,Find IP addresses,Grep for IP addresses in file system per user,collection,T1005,Data from Local System
316251ed-6a28-4013-812b-ddf5b5b007f8,stockpile,Screen Capture,capture the contents of the screen,collection,T1113,Screen Capture
1f7ff232-ebf8-42bf-a3c4-657855794cfe,stockpile,Find company emails,Grep for all emails for the given target company,collection,T1005,Data from Local System
02de522f-7e0a-4544-8afc-0c195f400f5f,stockpile,Parse SSH config,Search for valid SSH commands in the config file,collection,T1005,Data from Local System
702bfdd2-9947-4eda-b551-c3a1ea9a59a2,stockpile,PowerShell information gathering,System Information Gathering Script,collection,T1059.001,Command and Scripting Interpreter: PowerShell
10fad81e-3f68-47be-83b6-fbee7711c6a9,stockpile,Advanced File Search and Stager,"Highly configurable file finder and stager for Linux and Windows. Drops a payload file to the host to parse
arguments rather than running multiple commands for each fact (e.g., each file type). This ability allows for a safe
mode, only staging files found that have the appropriate file ending. The staging directory is configurable but
defaults to the current user's Recycle Bin (Windows) and /tmp (Linux). Payload files include default values for all
parameters (matching the base fact source - File Search and Stage). Options for searches: file extensions (include,
exclude [windows]), directories (include, exclude), accessed date cutoff, modified date cutoff, sensitive search
strings in files or titles.
",collection,T1119,Automated Collection
